CustomerID,LastPurchaseDate,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,2011-01-18 10:01:00,325,1,77183.6,1,1,5,115,Big Spender
12347,2011-12-07 15:52:00,1,7,4310.0,5,5,5,555,Champion
12348,2011-09-25 13:13:00,74,4,1797.24,2,4,4,244,At Risk
12349,2011-11-21 09:51:00,18,1,1757.55,4,1,4,414,Potential Loyal
12350,2011-02-02 16:01:00,309,1,334.40000000000003,1,1,2,112,Lost
12352,2011-11-03 14:37:00,35,8,2506.04,3,5,5,355,Loyal
12353,2011-05-19 17:47:00,203,1,89.0,1,1,1,111,Lost
12354,2011-04-21 13:11:00,231,1,1079.4,1,1,4,114,Lost
12355,2011-05-09 13:49:00,213,1,459.40000000000003,1,1,2,112,Lost
12356,2011-11-17 08:40:00,22,3,2811.43,4,3,5,435,Potential Loyal
12357,2011-11-06 16:07:00,32,1,6207.67,4,1,5,415,Potential Loyal
12358,2011-12-08 10:26:00,1,2,1168.06,5,2,4,524,Potential Loyal
12359,2011-10-13 12:47:00,57,4,6310.03,3,4,5,345,Loyal
12360,2011-10-18 15:22:00,51,3,2662.06,3,3,5,335,Big Spender
12361,2011-02-25 13:51:00,286,1,189.9,1,1,1,111,Lost
12362,2011-12-06 15:40:00,2,10,5226.2300000000005,5,5,5,555,Champion
12363,2011-08-22 10:18:00,109,2,552.0,2,2,3,223,At Risk
12364,2011-12-02 10:22:00,7,4,1313.1,5,4,4,544,Loyal
12365,2011-02-21 14:04:00,290,2,641.38,1,2,3,123,At Risk
12367,2011-12-05 16:48:00,3,1,168.9,5,1,1,511,Potential Loyal
12370,2011-10-19 14:51:00,50,4,3541.94,3,4,5,345,Loyal
12371,2011-10-26 10:16:00,44,2,1887.96,3,2,4,324,Potential Loyal
12372,2011-09-29 12:12:00,71,3,1298.04,3,3,4,334,Loyal
12373,2011-02-01 13:10:00,310,1,364.6,1,1,2,112,Lost
12374,2011-11-14 15:37:00,24,1,742.9300000000001,4,1,3,413,Potential Loyal
12375,2011-11-29 10:36:00,10,2,457.5,5,2,2,522,Potential Loyal
12377,2011-01-28 15:45:00,314,2,1628.1200000000001,1,2,4,124,At Risk
12378,2011-08-02 10:34:00,129,1,4008.62,2,1,5,215,Big Spender
12379,2011-09-19 10:09:00,81,2,852.24,2,2,3,223,At Risk
12380,2011-11-18 11:27:00,21,4,2724.81,4,4,5,445,Loyal
12381,2011-12-05 12:44:00,4,5,1845.31,5,4,4,544,Loyal
12383,2011-06-08 08:02:00,184,5,1850.56,1,4,4,144,At Risk
12384,2011-11-11 08:39:00,28,2,585.27,4,2,3,423,Potential Loyal
12386,2011-01-06 12:37:00,337,2,401.9,1,2,2,122,At Risk
12388,2011-11-24 12:30:00,15,6,2780.6600000000003,4,4,5,445,Loyal
12390,2011-09-21 09:33:00,79,1,549.84,2,1,3,213,Lost
12391,2011-11-18 12:07:00,21,1,439.66,4,1,2,412,Potential Loyal
12393,2011-09-28 15:41:00,71,4,1582.6000000000001,3,4,4,344,Loyal
12394,2011-10-07 08:08:00,63,2,1272.48,3,2,4,324,Potential Loyal
12395,2011-11-20 15:21:00,18,12,3018.63,4,5,5,455,Loyal
12397,2011-11-04 09:52:00,35,2,2409.9,3,2,5,325,Big Spender
12398,2011-10-25 10:27:00,45,1,1635.6599999999999,3,1,4,314,Potential Loyal
12399,2011-08-12 13:15:00,118,4,1108.65,2,4,4,244,At Risk
12401,2011-02-09 13:50:00,302,1,84.3,1,1,1,111,Lost
12402,2011-01-20 13:49:00,322,1,225.60000000000002,1,1,1,111,Lost
12403,2011-10-21 10:51:00,49,1,427.7,3,1,2,312,Potential Loyal
12405,2011-07-14 08:52:00,148,1,1710.39,2,1,4,214,Lost
12406,2011-11-17 19:22:00,21,2,3415.3,4,2,5,425,Potential Loyal
12407,2011-10-21 10:11:00,49,5,1708.12,3,4,4,344,Loyal
12408,2011-11-07 12:27:00,32,5,2888.55,4,4,5,445,Loyal
12409,2011-09-22 10:38:00,78,3,11072.67,2,3,5,235,At Risk
12410,2011-02-04 10:39:00,308,2,693.33,1,2,3,123,At Risk
12412,2011-09-26 10:16:00,74,3,1226.88,2,3,4,234,At Risk
12413,2011-10-04 09:00:00,66,3,758.1,3,3,3,333,Loyal
12414,2011-05-06 14:51:00,216,3,562.4100000000001,1,3,3,133,At Risk
12415,2011-11-15 14:22:00,23,21,124914.53,4,5,5,455,Loyal
12417,2011-12-06 14:52:00,2,9,3649.1,5,5,5,555,Champion
